Neighborhood,Source,Liv_Area,Total_bedrooms,Sale_Price,Predicted
CollgCr,Ames,1786,3,3.00E+05,214509.2683
CollgCr,Ames,848,1,136500,165231.5697
CollgCr,Ames,1445,3,186500,196444.0693
CollgCr,Ames,1582,3,185900,203701.9352
CollgCr,Ames,1234,3,179900,185265.8964
CollgCr,Ames,848,1,149000,165231.5697
CollgCr,Ames,848,1,144500,165231.5697
Edwards,Ames,796,2,85000,102870.9143
Edwards,Ames,1256,3,147500,127032.9695
Edwards,Ames,1181,3,137500,123059.6853
Edwards,Ames,1137,4,96000,120521.2704
Edwards,Ames,864,2,67000,106473.3587
SWISU,Ames,2601,4,189000,188298.1518
Crawfor,Ames,1502,3,149000,193047.0638
Crawfor,Ames,1660,3,188700,201417.4492
Crawfor,Ames,1873,4,257076,212494.155
Crawfor,Ames,1954,3,311500,216992.7234
Blueste,Ames,1556,3,151000,165840.7448
IDOTRR,Ames,919,2,126000,87904.6256
IDOTRR,Ames,1200,4,119000,102376.3544
IDOTRR,Ames,733,2,13100,78050.8807
IDOTRR,Ames,1317,3,40000,108782.0992
IDOTRR,Ames,1049,2,80900,94791.65161
Mitchel,Ames,2032,3,3.00E+05,200418.3912
Timber,Ames,1256,3,180000,222742.5388
Timber,Ames,1509,3,175000,236145.7509
Timber,Ames,1728,3,298751,247747.7409
Timber,Ames,1964,3,370000,260250.342
Mitchel,Ames,1344,2,206300,164177.5519
MeadowV,Ames,1475,4,129500,117072.155
MeadowV,Ames,1092,3,98000,96989.33823
MeadowV,Ames,630,1,81000,72928.75017
Mitchel,Ames,988,2,113000,145317.6961
Gilbert,Ames,1733,3,225000,195953.5155
Gilbert,Ames,1470,3,177000,182020.5321
Gilbert,Ames,1384,3,161500,177464.4995
StoneBr,Ames,1652,2,251000,297650.8136
Gilbert,Ames,1187,3,160000,167028.0063
StoneBr,Ames,2338,4,591587,333578.2773
StoneBr,Ames,1419,2,392000,285307.1439
NWAmes,Ames,2030,4,195000,206050.2168
NWAmes,Ames,1725,3,197000,190099.6156
NAmes,Ames,1422,3,155000,152204.8806
BrDale,Ames,1218,3,113000,110495.1191
BrDale,Ames,1218,4,113700,110287.6977
NridgHt,Ames,1734,3,318000,308918.8978
NridgHt,Ames,2656,3,492000,357763.8053
NridgHt,Ames,1973,3,395000,321580.4302
NridgHt,Ames,1802,3,372000,312521.3421
NridgHt,Ames,2468,4,354000,347596.6847
NridgHt,Ames,1577,2,280000,300808.9109
NridgHt,Ames,1561,2,277500,299961.2769
NridgHt,Ames,1869,2,318061,316278.2308
Gilbert,Ames,1746,3,198444,196642.2181
Gilbert,Ames,1326,3,203000,174391.8264
Gilbert,Ames,1530,3,259000,185199.1595
Gilbert,Ames,1525,3,206580,184934.2739
NoRidge,Ames,2633,2,466500,338081.9006
NoRidge,Ames,2398,3,315750,325424.8553
NoRidge,Ames,2531,4,290000,332263.3912
Somerst,Ames,1464,3,282922,221162.0253
Somerst,Ames,1689,3,248328,233081.878
Somerst,Ames,1496,3,225000,222857.2933
Somerst,Ames,1792,3,255000,238538.5217
Somerst,Ames,1588,3,212109,227731.1886
Somerst,Ames,1656,3,249700,231333.633
SawyerW,Ames,1100,3,146000,157425.5734
SawyerW,Ames,1820,3,191750,195569.1021
Sawyer,Ames,894,2,120750,122858.5444
Sawyer,Ames,1037,2,129000,130434.273
Somerst,Ames,1378,2,214000,216813.4142
Somerst,Ames,1241,1,199900,209762.9697
Somerst,Ames,1458,2,176000,221051.584
Somerst,Ames,1950,3,239000,246908.9072
Somerst,Ames,2362,3,312500,268735.4819
Veenker,Ames,1262,3,181500,215336.1993
Somerst,Ames,1929,3,226000,245796.3876
NWAmes,Ames,2411,4,240050,226234.5007
NWAmes,Ames,1295,3,164000,167319.4527
NWAmes,Ames,1594,2,188500,183367.0339
NWAmes,Ames,1680,4,136905,187508.2237
NWAmes,Ames,1093,3,158500,156618.0738
NWAmes,Ames,1052,3,127000,154446.0118
NAmes,Ames,1074,2,124000,133976.2631
NAmes,Ames,964,3,137500,127941.3582
NAmes,Ames,1042,3,161000,132073.5738
NAmes,Ames,932,2,124000,126453.5117
NAmes,Ames,1254,3,158500,143304.7239
NAmes,Ames,936,2,141000,126665.4202
NAmes,Ames,1721,4,174850,167837.619
NAmes,Ames,1657,3,163500,164654.5045
NAmes,Ames,925,3,127000,125875.2504
NAmes,Ames,1360,3,130000,148920.299
NAmes,Ames,925,3,116900,125875.2504
OldTown,Ames,924,2,112500,96668.19859
NAmes,Ames,1728,3,156000,168415.8803
NAmes,Ames,952,3,128500,127305.6327
NAmes,Ames,1082,2,119200,134400.0801
NAmes,Ames,988,3,119000,129212.8091
NAmes,Ames,1851,3,187000,174932.0664
OldTown,Ames,1432,2,132000,123580.5772
OldTown,Ames,1022,2,89500,101859.9567
OldTown,Ames,1798,4,137000,142555.3614
OldTown,Ames,866,2,110500,93595.52545
IDOTRR,Ames,1952,4,212300,142215.151
IDOTRR,Ames,1315,3,99500,108676.145
Sawyer,Ames,1452,2,158450,152419.7791
Sawyer,Ames,948,3,108000,125511.8876
Sawyer,Ames,894,3,129000,122651.1229
Sawyer,Ames,912,3,129000,123604.7112
Edwards,Ames,605,2,86000,92752.28376
Edwards,Ames,1038,2,130000,115691.3781
Edwards,Ames,1342,4,125000,131381.5807
Edwards,Ames,1340,3,120000,131483.0479
SawyerW,Ames,1822,4,228500,195467.6349
CollgCr,Ames,2696,4,383970,262511.029
CollgCr,Ames,2140,3,360000,233263.1699
CollgCr,Ames,2574,3,276000,256255.2414
SawyerW,Ames,1873,3,207000,198376.8896
CollgCr,Ames,990,3,126000,172339.4783
CollgCr,Ames,1200,3,177500,183464.6742
CollgCr,Ames,1308,3,175000,189186.2035
CollgCr,Ames,1097,3,147900,178008.0305
CollgCr,Ames,1873,3,235500,219118.2781
CollgCr,Ames,1459,3,192000,197185.7491
CollgCr,Ames,2452,4,267000,249584.6109
CollgCr,Ames,1668,3,285000,208257.9678
CollgCr,Ames,848,1,131500,165231.5697
CollgCr,Ames,1797,3,213500,215092.0167
CollgCr,Ames,1422,3,179600,195225.5955
CollgCr,Ames,1190,2,173500,183142.3244
Edwards,Ames,1088,2,110000,118340.2342
Edwards,Ames,960,3,94750,111351.7411
Edwards,Ames,1044,3,133500,115801.8194
Edwards,Ames,1113,3,148000,119457.2409
Edwards,Ames,2233,5,141000,178376.776
Edwards,Ames,1090,2,157000,118446.1885
Edwards,Ames,960,2,131750,111559.1625
Edwards,Ames,948,3,111000,110716.0156
Edwards,Ames,864,3,79275,106265.9372
SWISU,Ames,3395,8,2.00E+05,229532.3019
Crawfor,Ames,1098,2,148500,171851.7274
Crawfor,Ames,1436,3,141500,189550.5736
Crawfor,Ames,2259,3,217000,233150.746
Crawfor,Ames,1560,3,201000,196119.7369
Crawfor,Ames,1680,4,170000,202269.5703
Crawfor,Ames,1696,3,198000,203324.6256
IDOTRR,Ames,1123,3,1.00E+05,98504.53731
IDOTRR,Ames,816,2,75200,82447.98192
IDOTRR,Ames,1558,4,152000,121342.1645
IDOTRR,Ames,1073,3,140000,95855.68115
Crawfor,Ames,1625,2,375000,199770.6713
Mitchel,Ames,1299,2,183500,161793.5814
Timber,Ames,1756,3,204000,249231.1003
Timber,Ames,1146,3,187500,216915.0552
MeadowV,Ames,1092,3,85500,96989.33823
Mitchel,Ames,1356,3,188000,164605.856
Mitchel,Ames,1432,3,157000,168632.1174
Mitchel,Ames,974,3,93500,144368.5949
Mitchel,Ames,887,3,124500,139759.5852
Gilbert,Ames,1525,3,183500,184934.2739
Gilbert,Ames,1498,3,187500,183503.8916
Gilbert,Ames,1776,3,202000,198231.5318
Gilbert,Ames,1511,3,185000,184192.5942
Gilbert,Ames,1632,3,176500,190602.8261
StoneBr,Ames,1742,2,275000,302418.7547
StoneBr,Ames,2868,4,556581,361656.1525
StoneBr,Ames,2945,3,438780,365942.8124
NWAmes,Ames,2183,4,229000,214155.7166
NWAmes,Ames,1872,3,241500,197887.2527
NWAmes,Ames,1686,3,207500,188033.5078
Somerst,Ames,2318,3,294323,266404.4885
NAmes,Ames,1419,2,190000,152253.3706
BrDale,Ames,948,2,89000,96398.71726
NPkVill,Ames,1055,2,137500,130520.5788
NridgHt,Ames,2596,4,342643,354377.7565
NridgHt,Ames,1740,4,293000,309029.3391
NridgHt,Ames,1850,3,326000,315064.2441
NridgHt,Ames,2324,4,345000,339967.979
NridgHt,Ames,2253,3,344133,336414.0247
NridgHt,Ames,1792,2,372397,312198.9923
NridgHt,Ames,1368,2,202665,289736.6921
Gilbert,Ames,1492,3,169985,183186.0288
Gilbert,Ames,1496,3,179665,183397.9373
Gilbert,Ames,1863,4,219210,202633.1201
Blmngtn,Ames,1456,2,215000,197438.7916
Blmngtn,Ames,1248,2,167240,186419.55
Blmngtn,Ames,1506,2,213490,200087.6477
Blmngtn,Ames,1567,1,264561,203526.6737
Gilbert,Ames,1838,4,192140,201308.692
Gilbert,Ames,1936,3,230500,206707.8715
NoRidge,Ames,1924,3,280000,300313.6989
SawyerW,Ames,1400,3,186800,173318.7104
SawyerW,Ames,1398,2,172000,173420.1776
SawyerW,Ames,1217,2,151000,163831.3183
Sawyer,Ames,988,3,129500,127630.9725
Sawyer,Ames,1728,6,125000,166211.7794
Sawyer,Ames,909,3,116000,123445.7798
Sawyer,Ames,912,3,124000,123604.7112
Sawyer,Ames,1236,3,135000,140769.2991
NoRidge,Ames,2826,3,334000,348099.064
NoRidge,Ames,1624,2,262000,284627.9834
Somerst,Ames,1080,2,139000,201026.2315
Greens,Ames,1235,1,214000,191336.5058
Greens,Ames,1036,1,188000,180794.0583
NWAmes,Ames,1416,3,179900,173729.6846
NWAmes,Ames,2654,4,250000,239107.9416
NAmes,Ames,1770,4,155000,170433.498
NAmes,Ames,864,3,129900,122643.6459
NAmes,Ames,1095,2,140000,135088.7827
NAmes,Ames,1248,3,151500,142986.8612
NAmes,Ames,1008,2,137000,130479.773
BrkSide,Ames,1230,3,121600,124714.2664
BrkSide,Ames,869,2,85500,105796.9463
NAmes,Ames,2157,4,226000,190935.6447
NAmes,Ames,1144,3,143000,137477.2404
NAmes,Ames,1336,3,162000,147648.848
NAmes,Ames,1236,2,134450,142558.5571
NAmes,Ames,1375,2,140000,149922.3772
NAmes,Ames,1056,3,125000,132815.2535
OldTown,Ames,1595,3,155500,132008.4268
OldTown,Ames,2414,3,160000,175396.6907
NAmes,Ames,1040,3,133700,131967.6195
NAmes,Ames,1556,4,119000,159096.3937
OldTown,Ames,2014,5,169000,153790.9986
OldTown,Ames,1118,2,116000,106945.7605
OldTown,Ames,1774,4,87000,141283.9104
OldTown,Ames,1368,3,114504,119982.6199
OldTown,Ames,1200,4,125000,110875.0417
BrkSide,Ames,1664,3,159000,147706.3378
OldTown,Ames,1118,3,119900,106738.3391
BrkSide,Ames,1344,3,115000,130753.6584
BrkSide,Ames,816,2,109000,102989.1588
OldTown,Ames,1635,2,117000,134334.9332
IDOTRR,Ames,1430,3,107000,114768.5141
IDOTRR,Ames,1360,2,125500,111267.5369
IDOTRR,Ames,1077,3,91000,96067.58964
Sawyer,Ames,1640,3,131000,162172.0568
ClearCr,Ames,1352,3,130000,191820.432
Sawyer,Ames,1059,3,142500,131392.3483
Edwards,Ames,2201,4,274970,176888.9295
CollgCr,Ames,1498,2,204900,199459.2783
CollgCr,Ames,914,2,148000,168520.6384
CollgCr,Ames,990,3,156000,172339.4783
CollgCr,Ames,1776,3,192500,213979.4971
CollgCr,Ames,971,3,128500,171332.913
CollgCr,Ames,1989,3,255000,225263.6243
CollgCr,Ames,1762,3,222000,213237.8174
CollgCr,Ames,1787,3,275000,214562.2455
CollgCr,Ames,1939,3,227000,222614.7682
CollgCr,Ames,1336,3,198000,190669.5629
Edwards,Ames,1072,2,142500,117492.6003
Edwards,Ames,1709,3,137500,151031.6063
Edwards,Ames,1338,3,92000,131377.0936
Edwards,Ames,1482,3,125000,139005.7993
Edwards,Ames,498,1,35000,87291.153
SWISU,Ames,1551,3,137000,132879.5939
SWISU,Ames,1522,4,102000,131135.8359
SWISU,Ames,1465,3,131000,128323.5613
Crawfor,Ames,2057,3,250000,222449.3671
Crawfor,Ames,1336,2,157000,184460.2827
IDOTRR,Ames,951,2,106500,89599.89354
Mitchel,Ames,1664,4,145000,180715.3885
Timber,Ames,2519,4,335000,289445.2239
Timber,Ames,2028,2,369900,263848.2993
MeadowV,Ames,630,1,73000,72928.75017
Mitchel,Ames,1360,3,140000,164817.7645
MeadowV,Ames,1092,3,87550,96989.33823
Mitchel,Ames,1728,4,150900,184105.9244
Sacramento,California,669,3,299200,153891.5895
Bakersfield,California,902,2,261100,174581.7487
Santa Ana,California,150,3,159200,139416.3817
Oakland,California,432,4,158700,168435.4539
Oakland,California,432,3,105500,168642.8754
Santa Ana,California,446,4,108900,154890.1887
San Jose,California,146,2,97200,139245.9776
Santa Ana,California,512,2,188800,158801.5217
Santa Ana,California,899,2,142500,179303.6683
Long Beach,California,163,5,171900,142957.3279
San Jose,California,653,5,83100,165483.1148
Fresno,California,1238,2,75700,196157.4765
Santa Ana,California,798,2,84400,173952.9789
Oakland,California,155,4,85000,153760.7908
San Francisco,California,1042,4,75000,199546.4748
Oakland,California,553,2,67500,175260.5287
Fresno,California,581,5,131300,160729.2423
Bakersfield,California,90,4,118800,131149.4818
Sacramento,California,347,5,137500,136418.113
Oakland,California,600,2,183800,177750.4535
Bakersfield,California,739,4,193100,165531.6347
Oakland,California,151,5,273400,153341.4609
San Jose,California,142,5,335700,138411.8049
Sacramento,California,740,4,275700,157445.5438
San Francisco,California,497,5,225000,170466.5213
Long Beach,California,443,4,327600,157998.3438
Long Beach,California,576,4,389500,165044.3012
Long Beach,California,539,3,295200,163291.5691
Sacramento,California,156,2,411500,126921.7467
Los Angeles,California,113,3,335200,133700.9537
Santa Ana,California,189,3,365900,141482.4895
Sacramento,California,121,3,273700,124860.126
Oakland,California,106,2,348700,151579.7546
San Jose,California,462,3,218800,155779.3271
Sacramento,California,163,3,122800,127085.1651
Bakersfield,California,136,4,105500,133586.4295
Bakersfield,California,142,5,96400,133696.8708
San Jose,California,107,3,80800,136972.4484
Los Angeles,California,801,5,122700,169734.3716
Sacramento,California,612,5,109500,150457.0506
Fresno,California,560,5,136700,159616.7227
Santa Ana,California,102,5,141700,136458.6369
